customer_id,company_name,country,region,is_eu,industry,company_size_bucket,annual_contract_value,product_tier,sales_segment,acquisition_channel,contract_start_date,contract_end_date,renewed_flag,discount_pct,initial_onboarding_score,is_churned,industry_missing,contract_duration_days,acquisition_quarter,acquisition_month,active_days,total_logins,avg_logins_per_day,std_logins,total_feature_events,avg_feature_events,total_session_minutes,avg_session_minutes,corrupted_records_count,active_days_clean,total_logins_clean,avg_logins_per_day_clean,total_session_minutes_clean,never_logged_in,low_engagement,potential_outlier,total_tickets,dashboard_issue_count,product_bug_count,onboarding_issue_count,avg_sentiment,avg_first_response_hours,avg_resolution_hours,resolution_rate,high_ticket_volume,primary_complaint_type
C100000,Company_0,Canada,North America,0,Healthcare,51-200,12999.25,Growth,MidMarket,Partner,2023-05-02,,1,0.03,7.0,0,False,,2023Q2,2023-05,366,1459.0,3.9863387978142075,2.0453299254838204,525.0,1.4344262295081966,9925.17120997267,27.11795412560839,0,366,1459.0,3.9863387978142075,9925.17120997267,False,False,False,1.0,1.0,0.0,0.0,0.44,0.11,14.88,1.0,False,Dashboard_Performance
C100001,Company_1,UK,Europe,1,Wholesale,1-10,1799.72,Starter,SMB_Field,Inbound,2023-02-18,,1,0.15,4.9,0,False,,2023Q1,2023-02,366,387.0,1.0573770491803278,0.9330977748577148,109.0,0.2978142076502732,5190.260882875136,14.181040663593269,30,336,327.0,0.9732142857142857,4462.991577598722,False,False,False,1.0,1.0,0.0,0.0,-0.5,8.12,9.37,1.0,False,Dashboard_Performance
C100002,Company_2,US,North America,0,Manufacturing,1-10,1770.83,Starter,SMB_Field,Inbound,2023-11-12,2024-05-13,0,0.37,4.8,1,False,183.0,2023Q4,2023-11,366,140.0,0.3825136612021858,0.791129048288417,60.0,0.16393442622950818,1660.61,4.537185792349726,0,366,140.0,0.3825136612021858,1660.61,False,True,False,1.0,1.0,0.0,0.0,-0.5,2.97,31.65,1.0,False,Dashboard_Performance
C100003,Company_3,France,Europe,1,Unknown,1-10,1790.3,Starter,SMB_Field,Outbound,2023-08-06,,1,0.1,8.0,0,True,,2023Q3,2023-08,366,308.0,0.8415300546448088,0.937511633782645,96.0,0.26229508196721313,4898.507964499201,13.383901542347544,30,336,308.0,0.9166666666666666,4544.824618036918,False,True,False,1.0,0.0,0.0,1.0,-0.11,0.1,12.49,1.0,False,Onboarding
C100004,Company_4,Netherlands,Europe,1,Professional Services,1-10,1552.0,Starter,SMB_Inside,Inbound,2023-09-09,2024-03-10,0,0.11,3.8,1,False,183.0,2023Q3,2023-09,366,57.0,0.1557377049180328,0.5131769189966388,18.0,0.04918032786885246,976.99,2.6693715846994537,30,336,57.0,0.16964285714285715,976.99,False,True,False,1.0,0.0,1.0,0.0,0.2,5.19,35.67,1.0,False,Product_Bug
C100005,Company_5,Germany,Europe,1,Manufacturing,51-200,13476.07,Enterprise,MidMarket,Outbound,2023-08-19,2024-08-19,0,0.17,8.2,0,False,366.0,2023Q3,2023-08,366,2304.0,6.295081967213115,5.480258754900196,762.0,2.081967213114754,6944.624483536889,18.974383834800243,30,336,2304.0,6.857142857142857,6944.624483536889,False,False,False,4.0,1.0,1.0,2.0,-0.035,1.2875,15.25,1.0,True,Dashboard_Performance
C100006,Company_6,Canada,North America,0,Wholesale,51-200,21487.81,Enterprise,MidMarket,Partner,2023-02-04,,1,0.07,5.9,0,False,,2023Q1,2023-02,366,3654.0,9.98360655737705,3.072592782840311,1287.0,3.5163934426229506,10763.901022080248,29.40956563409904,0,366,3654.0,9.98360655737705,10763.901022080248,False,False,False,7.0,0.0,4.0,3.0,-0.054285714285714284,2.54,8.217142857142857,0.8571428571428571,True,Product_Bug
C100007,Company_7,Germany,Europe,1,Healthcare,1-10,2079.68,Starter,SMB_Inside,Inbound,2024-02-11,2024-08-12,0,0.21,6.8,0,False,183.0,2024Q1,2024-02,366,177.0,0.48360655737704916,0.8397678076743582,58.0,0.15846994535519127,2514.803089673403,6.87104669309673,30,336,177.0,0.5267857142857143,2514.803089673403,False,True,False,1.0,0.0,1.0,0.0,0.29,1.5,7.19,1.0,False,Product_Bug
C100008,Company_8,France,Europe,1,Unknown,201-1000,60522.71,Growth,Enterprise,SelfServe,2023-01-28,,1,0.14,5.5,0,True,,2023Q1,2023-01,366,1402.0,3.830601092896175,1.901331377630014,499.0,1.3633879781420766,9598.760870189994,26.226122596147523,30,336,1342.0,3.994047619047619,8975.591060611017,False,False,False,1.0,0.0,0.0,1.0,-0.06,6.18,19.12,1.0,False,Onboarding
C100009,Company_9,Netherlands,Europe,1,Wholesale,1-10,1239.73,Starter,SMB_Inside,Inbound,2023-11-14,,1,0.15,6.7,0,False,,2023Q4,2023-11,366,333.0,0.9098360655737705,0.8243296822914177,135.0,0.36885245901639346,4290.338736242945,11.72223698427034,30,336,303.0,0.9017857142857143,4170.162677284804,False,True,False,3.0,2.0,0.0,1.0,0.4000000000000001,2.603333333333333,7.586666666666666,1.0,False,Dashboard_Performance
